Epoch,loss,binary_accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_binary_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,freezed_layer
1,0.26867440342903137,0.8775123357772827,0.9554360508918762,2314.0,2314.0,323.0,323.0,0.32782936096191406,0.8545454740524292,0.9375631213188171,564.0,564.0,96.0,96.0,110
2,0.21522904932498932,0.9116420149803162,0.971764862537384,2404.0,2404.0,233.0,233.0,0.3896140456199646,0.8575757741928101,0.9416505694389343,566.0,566.0,94.0,94.0,110
3,0.190823033452034,0.9196056127548218,0.9775811433792114,2425.0,2425.0,212.0,212.0,0.40793725848197937,0.8545454740524292,0.9367976188659668,564.0,564.0,96.0,96.0,110
4,0.15489041805267334,0.9385665655136108,0.9846529960632324,2475.0,2475.0,162.0,162.0,0.3686484098434448,0.8696969747543335,0.9473690986633301,574.0,574.0,86.0,86.0,110
5,0.14043009281158447,0.9442548155784607,0.9877121448516846,2490.0,2490.0,147.0,147.0,0.35966256260871887,0.8787878751754761,0.9518709778785706,580.0,580.0,80.0,80.0,110
6,0.11901658773422241,0.9552521705627441,0.9911786913871765,2519.0,2519.0,118.0,118.0,0.4714334309101105,0.8757575750350952,0.9377835392951965,578.0,578.0,82.0,82.0,110
7,0.09299609065055847,0.9685248136520386,0.9933978319168091,2554.0,2554.0,83.0,83.0,0.3623344898223877,0.8712121248245239,0.9446154832839966,575.0,575.0,85.0,85.0,110
8,0.08884455263614655,0.9658703207969666,0.995071291923523,2547.0,2547.0,90.0,90.0,0.4131042957305908,0.8606060743331909,0.9391264319419861,568.0,568.0,92.0,92.0,110
9,0.0679570883512497,0.9753507971763611,0.996678352355957,2572.0,2572.0,65.0,65.0,0.40911296010017395,0.8666666746139526,0.9458872675895691,572.0,572.0,88.0,88.0,110
0,0.41337084770202637,0.8035646677017212,0.8902175426483154,2119.0,2119.0,518.0,518.0,0.35796356201171875,0.8575757741928101,0.9347520470619202,566.0,566.0,94.0,94.0,115
1,0.275976300239563,0.8820629715919495,0.9533994793891907,2326.0,2326.0,311.0,311.0,0.28986164927482605,0.8545454740524292,0.9471096992492676,564.0,564.0,96.0,96.0,115
2,0.22811633348464966,0.8998862504959106,0.9680442214012146,2373.0,2373.0,264.0,264.0,0.4003019332885742,0.8545454740524292,0.9342607259750366,564.0,564.0,96.0,96.0,115
3,0.1947713941335678,0.9203640222549438,0.9765641093254089,2427.0,2427.0,210.0,210.0,0.3493591845035553,0.8378787636756897,0.9331645965576172,553.0,553.0,107.0,107.0,115
4,0.17618447542190552,0.9283276200294495,0.9810135364532471,2448.0,2448.0,189.0,189.0,0.47377753257751465,0.8696969747543335,0.9355279803276062,574.0,574.0,86.0,86.0,115
5,0.1526172012090683,0.9385665655136108,0.9851945042610168,2475.0,2475.0,162.0,162.0,0.3597310483455658,0.8772727251052856,0.9459274411201477,579.0,579.0,81.0,81.0,115
6,0.12124336510896683,0.9525976777076721,0.9908463954925537,2512.0,2512.0,125.0,125.0,0.3512254059314728,0.8651515245437622,0.9450803995132446,571.0,571.0,89.0,89.0,115
7,0.11144665628671646,0.9579067230224609,0.9917897582054138,2526.0,2526.0,111.0,111.0,0.4391513764858246,0.8545454740524292,0.9310594201087952,564.0,564.0,96.0,96.0,115
8,0.10495946556329727,0.9567690491676331,0.993136465549469,2523.0,2523.0,114.0,114.0,0.5941255688667297,0.8272727131843567,0.911497950553894,546.0,546.0,114.0,114.0,115
9,0.09718111902475357,0.9647326469421387,0.9935939908027649,2544.0,2544.0,93.0,93.0,0.5055104494094849,0.8803030252456665,0.9337568879127502,581.0,581.0,79.0,79.0,115
0,0.4091135859489441,0.8077360391616821,0.8965423703193665,2130.0,2130.0,507.0,507.0,0.3485944867134094,0.8681818246841431,0.942152202129364,573.0,573.0,87.0,87.0,120
1,0.28277087211608887,0.8759954571723938,0.9505563974380493,2310.0,2310.0,327.0,327.0,0.31353825330734253,0.8454545736312866,0.9401963353157043,558.0,558.0,102.0,102.0,120
2,0.24267113208770752,0.8847174644470215,0.96295166015625,2333.0,2333.0,304.0,304.0,0.28093427419662476,0.8772727251052856,0.9516276121139526,579.0,579.0,81.0,81.0,120
3,0.21773988008499146,0.9036784172058105,0.9706923365592957,2383.0,2383.0,254.0,254.0,0.47705093026161194,0.7984848618507385,0.8970167636871338,527.0,527.0,133.0,133.0,120
4,0.2037595808506012,0.9067121744155884,0.9743762612342834,2391.0,2391.0,246.0,246.0,0.29572418332099915,0.8681818246841431,0.9502134919166565,573.0,573.0,87.0,87.0,120
5,0.1887638419866562,0.9215016961097717,0.9785004258155823,2430.0,2430.0,207.0,207.0,0.37180984020233154,0.8272727131843567,0.921903133392334,546.0,546.0,114.0,114.0,120
6,0.1670965701341629,0.9298444986343384,0.9829363226890564,2452.0,2452.0,185.0,185.0,0.4419710040092468,0.8196969628334045,0.9164267182350159,541.0,541.0,119.0,119.0,120
7,0.1363753080368042,0.9423587322235107,0.9885491132736206,2485.0,2485.0,152.0,152.0,0.33574941754341125,0.8742424249649048,0.9480911493301392,577.0,577.0,83.0,83.0,120
8,0.14068035781383514,0.9400834441184998,0.9874749779701233,2479.0,2479.0,158.0,158.0,0.3883707821369171,0.8515151739120483,0.9423438310623169,562.0,562.0,98.0,98.0,120
9,0.13598765432834625,0.9385665655136108,0.9887173771858215,2475.0,2475.0,162.0,162.0,0.3555457293987274,0.8560606241226196,0.9413865208625793,565.0,565.0,95.0,95.0,120
0,0.43230554461479187,0.8134243488311768,0.8929886221885681,2145.0,2145.0,492.0,492.0,0.35851630568504333,0.842424213886261,0.9264991283416748,556.0,556.0,104.0,104.0,125
1,0.2613300085067749,0.8790292143821716,0.9574417471885681,2318.0,2318.0,319.0,319.0,0.38778141140937805,0.8378787636756897,0.9270500540733337,553.0,553.0,107.0,107.0,125
2,0.22823560237884521,0.9014031291007996,0.968205451965332,2377.0,2377.0,260.0,260.0,0.299850195646286,0.8590909242630005,0.9449632167816162,567.0,567.0,93.0,93.0,125
3,0.2093762308359146,0.9070913791656494,0.973220944404602,2392.0,2392.0,245.0,245.0,0.5256544947624207,0.7924242615699768,0.8989338278770447,523.0,523.0,137.0,137.0,125
4,0.17626163363456726,0.9264315366744995,0.9810112714767456,2443.0,2443.0,194.0,194.0,0.3883076608181,0.846969723701477,0.9303856492042542,559.0,559.0,101.0,101.0,125
5,0.15831910073757172,0.9317406415939331,0.9846123456954956,2457.0,2457.0,180.0,180.0,0.33511656522750854,0.8803030252456665,0.9478214383125305,581.0,581.0,79.0,79.0,125
6,0.14444956183433533,0.9404626488685608,0.9870808720588684,2480.0,2480.0,157.0,157.0,0.45730194449424744,0.846969723701477,0.9222750067710876,559.0,559.0,101.0,101.0,125
